run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
66,t,-6546.0,-2989.838134765625,-1793.0301513671875,-16606.89127661961,1.5207343330197745,0.3901441685115838,0.3901441685115838
67,t,-7041.0,-2738.588623046875,-2164.898681640625,-15162.692017121713,1.529101317347831,0.20082091839861935,0.20082091839861935
68,t,-6968.0,-2872.646240234375,-2062.0400390625,-13852.626819315792,1.58940362763751,0.079135484671886,0.079135484671886
69,t,-5631.0,-2284.082763671875,-1684.8790283203125,-12635.852040216245,1.5899530331636489,0.03801974078027452,0.03801974078027452
70,t,-6408.0,-2809.6064453125,-1813.24462890625,-11553.591299085245,1.5541260164860986,0.3572348972399008,0.3572348972399008
71,t,-7933.0,-2899.60693359375,-2531.194580078125,-10651.351627184533,1.5925847009844123,0.2898671219945943,0.2898671219945943
72,t,-19237.0,-7887.8486328125,-5714.01416015625,-10157.617880481706,1.5995689270853912,0.23035813937525484,0.23035813937525484
73,t,-22951.0,-8893.4775390625,-7073.22802734375,-9849.178895167912,1.6296151907278829,0.1536480947627327,0.1536480947627327
74,t,-13199.0,-6586.53662109375,-3339.164306640625,-9198.177436315184,1.6415648114461805,0.2567861304108204,0.2567861304108204
75,t,-8889.0,-3854.21923828125,-2536.661376953125,-8532.025830378978,1.6796488576183939,0.24040109301372437,0.24040109301372437
76,t,-7110.0,-2863.49658203125,-2137.569091796875,-7892.580156520768,1.6927689659544447,0.034261234274289225,0.034261234274289225
77,t,-7553.0,-2921.987060546875,-2330.116455078125,-7336.333786376504,1.698665518001402,0.30112945348758235,0.30112945348758235
78,t,-12646.0,-4775.57861328125,-3959.0888671875,-6998.609294457604,1.7384818624492164,0.35846818881953657,0.35846818881953657
79,t,-6445.0,-2496.217041015625,-1986.87255859375,-6497.435620871219,1.7744797486310115,0.1917451499239338,0.1917451499239338
80,t,-6685.0,-2609.42578125,-2050.83447265625,-6052.775506049722,1.8199333159496909,0.0632904120462457,0.0632904120462457
81,t,-6366.0,-2586.858154296875,-1902.505126953125,-5637.748468140063,1.8614315039576903,0.24571996395707532,0.24571996395707532
82,t,-7439.0,-2830.89013671875,-2318.20947265625,-5305.794568591682,1.875337662031127,0.2248136889152734,0.2248136889152734
83,t,-9032.0,-3348.8388671875,-2858.32470703125,-5061.047582435639,1.8827007897656736,0.11684393481496175,0.11684393481496175
84,t,-8180.0,-3069.59765625,-2570.549072265625,-4811.997731418637,1.8729732368106324,0.10406896625537165,0.10406896625537165
85,t,-16416.0,-6710.1337890625,-4886.48388671875,-4819.446346948649,1.9155686568898977,0.08449230678420883,0.08449230678420883
86,t,-8553.0,-3163.529296875,-2710.55322265625,-4608.55703451941,1.956890644676563,0.23223185203600763,0.23223185203600763
87,t,-6515.0,-2516.455078125,-2011.854736328125,-4348.886804700282,1.9419936242918283,0.09987133692370931,0.09987133692370931
88,t,-7613.0,-2874.692138671875,-2383.527587890625,-4152.350883019316,1.9447749196839568,0.03838175078429442,0.03838175078429442
89,t,-6765.0,-2410.347412109375,-2189.3779296875,-3956.053587686134,1.9353013650282596,0.07966975205609199,0.07966975205609199
90,t,-6536.0,-2565.4833984375,-1998.0858154296875,-3760.2568104604893,1.9473273018120247,0.06256178275455009,0.06256178275455009
91,t,-5708.0,-2340.939697265625,-1695.23486328125,-3553.7546157425654,1.971876120665919,0.06724651826403513,0.06724651826403513
92,t,-6774.0,-2410.256103515625,-2193.92333984375,-3417.771488152684,1.9836897192852563,0.08168005189913444,0.08168005189913444
93,t,-8512.0,-3476.292236328125,-2535.2353515625,-3329.5178744936657,1.992642190023953,0.06852541974808991,0.06852541974808991
94,t,-9723.0,-3731.03369140625,-3014.638427734375,-3298.029929817737,2.0568100132194305,0.10313943633588173,0.10313943633588173
95,t,-7401.0,-3410.16796875,-2012.4666748046875,-3169.473604316432,2.0285572024723355,0.04903654424988983,0.04903654424988983
96,t,-6507.0,-2347.390869140625,-2091.54150390625,-3061.680394275414,2.01410481255562,0.10663546327862174,0.10663546327862174
97,t,-6425.0,-2735.63916015625,-1858.3587646484375,-2941.3482313127165,2.0024969536878006,0.036453405298333484,0.036453405298333484
98,t,-5199.0,-2134.376708984375,-1542.9833984375,-2801.5117480251947,1.975768881962082,0.09661918293018532,0.09661918293018532
99,t,-5610.0,-2319.258544921875,-1656.9671630859375,-2687.057289531269,1.9969396337192453,0.22077755712472674,0.22077755712472674
100,t,-5191.0,-2098.383544921875,-1556.8001708984375,-2574.031577667986,2.0413403428293915,0.18461669102171357,0.18461669102171357
