step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode,global_step
225.0,34,0,11,116,150,0,61.0,1.7941176470588236,5.637006263165096,11,207.0,0.2496953563500661,11,207.0,10,2735.0
230.0,36,0,6,118,154,0,23.0,0.6388888888888888,7.27416428733368,6,132.0,0.2956523182847124,6,132.0,10,2740.0
235.0,36,0,2,122,158,0,10.0,0.2777777777777778,8.370919498505181,2,101.0,0.4044053741308246,2,101.0,10,2745.0
240.0,32,2,2,128,160,0,3.0,0.09375,7.718516284720643,2,88.0,0.4118083120077155,2,88.0,10,2750.0
245.0,33,1,7,133,166,0,26.0,0.7878787878787878,6.313451107425593,7,111.0,0.3351120031392999,7,111.0,10,2755.0
250.0,34,0,14,136,170,0,82.0,2.411764705882353,4.359640060195693,14,167.0,0.2369592965643921,14,167.0,10,2760.0
5.0,4,0,0,0,4,0,0.0,0.0,13.792500926917588,0,0.0,0.9877082871246444,0,0.0,11,2766.0
10.0,9,0,0,0,9,0,0.0,0.0,12.10680253551278,0,0.0,0.9241723043983348,0,0.0,11,2771.0
15.0,12,0,1,0,12,0,2.0,0.1666666666666666,9.711408364082024,1,2.0,0.7648726002531232,1,2.0,11,2776.0
20.0,15,0,0,0,15,0,0.0,0.0,8.319047185761836,0,0.0,0.6185328947120554,0,0.0,11,2781.0
25.0,17,0,1,0,17,0,4.0,0.2352941176470588,11.36279417097808,1,4.0,0.736609314665942,1,4.0,11,2786.0
30.0,20,0,2,1,21,0,11.0,0.55,10.967622171890827,2,11.0,0.6086415583754062,2,11.0,11,2791.0
35.0,19,0,1,5,24,0,3.0,0.1578947368421052,10.182688393141836,1,6.0,0.6919094165295555,1,6.0,11,2796.0
40.0,18,0,2,9,27,0,11.0,0.6111111111111112,9.477417590340364,2,11.0,0.5261130407197647,2,11.0,11,2801.0
45.0,19,0,6,12,31,0,36.0,1.894736842105263,7.640151339762211,6,36.0,0.4265508669792154,6,36.0,11,2806.0
50.0,18,0,9,16,34,0,77.0,4.277777777777778,6.029883551745913,9,77.0,0.3548281372363795,9,77.0,11,2811.0
55.0,21,0,5,16,37,0,33.0,1.5714285714285714,6.229005335868853,5,82.0,0.3687214932194211,5,82.0,11,2816.0
60.0,24,0,2,16,40,0,5.0,0.2083333333333333,8.668318042319955,2,35.0,0.4547567475096148,2,35.0,11,2821.0
65.0,25,0,4,18,43,0,17.0,0.68,10.154156731783509,4,17.0,0.5461908717747778,4,17.0,11,2826.0
70.0,24,0,1,22,46,0,1.0,0.0416666666666666,8.848558130707298,1,9.0,0.5079215969913509,1,9.0,11,2831.0
75.0,24,0,7,28,52,0,24.0,1.0,8.665144542500416,7,24.0,0.5169059146061143,7,24.0,11,2836.0
80.0,26,0,10,30,56,0,65.0,2.5,6.933930870861193,10,65.0,0.3693892553429758,10,65.0,11,2841.0
